#               Rm(m)                 Rp(m)                Ωm(m3)                Ωp(m3)                μ(Am2)          Emx_ZFC(n.u.)          Emy_ZFC(n.u.)          Emz_ZFC(n.u.)           Emx_FC(n.u.)           Emy_FC(n.u.)           Emz_FC(n.u.)          Enx_ZFC(n.u.)          Eny_ZFC(n.u.)          Enz_ZFC(n.u.)           Enx_FC(n.u.)           Eny_FC(n.u.)           Enz_FC(n.u.)
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  6.911232982952314e-03  1.301067220435056e-01  9.914759077949142e-01  2.406610037983236e-02  6.034563486278600e-02  9.978873820053620e-01 -2.570741726927408e-01 -9.590831693977410e-01  1.186269105739802e-01 -2.570741726927408e-01 -9.590831693977410e-01  1.186269105739802e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -8.699934055609509e-01 -2.268835741180298e-01 -4.377617138077370e-01 -5.266292501470266e-01 -6.702577313552079e-01 -5.228921556575031e-01 -2.622031837566444e-01  5.943166128037856e-01  7.602876127974957e-01 -2.622031837566444e-01  5.943166128037856e-01  7.602876127974957e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  2.464822030631387e-02 -1.986222204504571e-03  9.996942133257978e-01 -6.577127856802852e-01 -2.288705624068933e-01  7.176574093648247e-01  1.241699069044758e-01  8.041266561018057e-01  5.813451256920128e-01  1.241699069044758e-01  8.041266561018057e-01  5.813451256920128e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -4.372760675450532e-01  4.114760982388303e-01 -7.996730965403817e-01 -9.498163736602049e-02 -3.540372831579260e-02 -9.948492672684698e-01  2.677047076072946e-01  7.983880789022290e-01 -5.393613491822538e-01  2.677047076072946e-01  7.983880789022290e-01 -5.393613491822538e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  6.864624624578097e-01  1.406155958199049e-01 -7.134399356978647e-01 -5.689299647507494e-04  2.730889969545436e-03 -9.999961092717659e-01  1.009234598544157e-01 -9.834627115468957e-01  1.503846742452224e-01  1.009234598544157e-01 -9.834627115468957e-01  1.503846742452224e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  9.050495357908729e-01  4.226089843745200e-01  4.782242246752052e-02 -4.669736657502935e-01 -4.583586448197663e-01 -7.562029808290367e-01  2.921617569061226e-01  2.583751631916236e-01  9.208060506139334e-01  2.921617569061226e-01  2.583751631916236e-01  9.208060506139334e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -2.418573949352194e-01 -7.485857889188278e-01  6.173526683702967e-01 -2.532209250011720e-01 -1.343148267153152e-01  9.580389817048081e-01  1.549126770625083e-02 -1.033233508891243e-01  9.945271769971378e-01  1.549126770625083e-02 -1.033233508891243e-01  9.945271769971378e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -4.201554131738821e-01 -1.027581981054334e-01  9.016153179171308e-01 -2.605404800508654e-02  7.062896858473490e-01 -7.074433307680564e-01 -1.878005562990135e-01 -8.728726380061970e-02  9.783209517494665e-01 -1.878005562990135e-01 -8.728726380061970e-02  9.783209517494665e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  8.152985192135538e-02  1.768605917022348e-01  9.808533092916684e-01  4.583805517963313e-01  7.552401143896942e-01 -4.685078861145590e-01 -5.034418426887603e-02  8.296909730437234e-02  9.952796551737603e-01 -5.034418426887603e-02  8.296909730437234e-02  9.952796551737603e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  5.570786512635821e-01  7.559976251640694e-01  3.437018577963110e-01  1.615481074799405e-01  5.177118370438777e-01  8.401646640714564e-01 -6.123448646893718e-01  6.608098240455682e-01  4.340093813887209e-01 -6.123448646893718e-01  6.608098240455682e-01  4.340093813887209e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -9.691823891245810e-03 -5.849728627504199e-01  8.109949558383451e-01 -1.770136946600969e-02  2.682106641089748e-02  9.994835125781766e-01  6.864003657591995e-01  5.171657495718703e-01 -5.112671760981754e-01  6.864003657591995e-01  5.171657495718703e-01 -5.112671760981754e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  5.197330746471148e-01 -4.374627546044550e-03  8.543175017238556e-01  7.765836053586437e-01 -4.183527972315664e-01  4.710613982663982e-01  4.341096155436773e-01 -1.236908307932210e-01 -8.923280899255629e-01  4.341096155436773e-01 -1.236908307932210e-01 -8.923280899255629e-01
