#                t(s)                  T(K)             M_ZFC(A/m)              M_FC(A/m)
0.240000000000122E-06 0.361600000000182E+03  0.562443446318956E+05  0.105408815823299E+06
0.242000000000124E-06 0.364580000000185E+03  0.539830695954150E+05  0.993372981811998E+05
0.244000000000126E-06 0.367560000000188E+03  0.529529957257732E+05  0.100856218283094E+06
0.246000000000129E-06 0.370540000000192E+03  0.577202134697254E+05  0.929004100585542E+05
0.248000000000131E-06 0.373520000000195E+03  0.541854258350581E+05  0.953526797167266E+05
0.250000000000133E-06 0.376500000000198E+03  0.480128326540490E+05  0.937095156391186E+05
0.252000000000136E-06 0.379480000000202E+03  0.421895432287770E+05  0.847268178481159E+05
0.254000000000138E-06 0.382460000000205E+03  0.424984226282091E+05  0.777191894598025E+05
0.256000000000140E-06 0.385440000000209E+03  0.492057666117166E+05  0.742480976985991E+05
0.258000000000142E-06 0.388420000000212E+03  0.487292401048993E+05  0.679712919046762E+05
0.260000000000145E-06 0.391400000000215E+03  0.515323798466482E+05  0.614515686632906E+05
0.262000000000147E-06 0.394380000000219E+03  0.454567598161339E+05  0.542051860308318E+05
0.264000000000149E-06 0.397360000000222E+03  0.649033228146773E+05  0.480881965744992E+05
0.266000000000151E-06 0.400340000000226E+03  0.643127579015996E+05  0.387680726647104E+05
0.268000000000154E-06 0.403320000000229E+03  0.574817415120975E+05  0.551281743996730E+05
0.270000000000156E-06 0.406300000000232E+03  0.547606713850012E+05  0.528803132355806E+05
0.272000000000158E-06 0.409280000000236E+03  0.640800253251920E+05  0.496866327380059E+05
0.274000000000160E-06 0.412260000000239E+03  0.557338250208311E+05  0.499866709335374E+05
0.276000000000163E-06 0.415240000000243E+03  0.611966169777263E+05  0.578241124278195E+05
0.278000000000165E-06 0.418220000000246E+03  0.595376780761226E+05  0.512748410575358E+05
0.280000000000167E-06 0.421200000000249E+03  0.589967973322284E+05  0.588169665127209E+05
0.282000000000170E-06 0.424180000000253E+03  0.516419892142943E+05  0.495300503584258E+05
0.284000000000172E-06 0.427160000000256E+03  0.589309333116124E+05  0.560048513571562E+05
0.286000000000174E-06 0.430140000000259E+03  0.605349071317478E+05  0.478514400340725E+05
0.288000000000176E-06 0.433120000000263E+03  0.601466240764386E+05  0.511615444946651E+05
0.290000000000179E-06 0.436100000000266E+03  0.546392869122459E+05  0.596003606685840E+05
0.292000000000181E-06 0.439080000000269E+03  0.407572132276501E+05  0.575182577970526E+05
0.294000000000183E-06 0.442060000000273E+03  0.481270276527697E+05  0.513603623801035E+05
0.296000000000185E-06 0.445040000000276E+03  0.299761099528613E+05  0.486125523584882E+05
